productid,Rating,ReviewCount,category,brand,name,image_url,description,tags
295,0.0,0,household essentials air fresheners car air fresheners car air fresheners,refresh,refresh scented gel cans oz car home office air freshener cherry,https://i5.walmartimages.com/asr/11defc01-d42d-4754-b448-f497e17e628a_1.ff4a26a9e9a597f1695affdaf1a2a5f3.jpeg,comes scent control lids select level fragrance released fragrance discreet easily hidden container oz water based gel cherry scent fits cup holder great suvs uvs rvs speed boats mid size cars compact size cars electric cars hybrids offices home refresh car gel cans pack powerful fragrance experience discreet easily latent container choose 1 oz oz oz single scent water based gel scent control lids select level fragrance released refresh car organic highly efficient air freshener environmentally conscious consumer looking discreet air freshener option look refresh car cans cherry captures essence fresh picked cherries candy like allure immediately emanates vehicle cherry irresistible aromatic fragrance force noticed enjoys ride vehicle,"household essentials air fresheners car air fresheners car air fresheners, refresh, refresh scented gel cans oz car home office air freshener cherry, comes scent control lids select level fragrance released fragrance discreet easily hidden container oz water based gel cherry scent fits cup holder great suvs uvs rvs speed boats mid size cars compact size cars electric cars hybrids offices home refresh car gel cans pack powerful fragrance experience discreet easily latent container choose 1 oz oz oz single scent water based gel scent control lids select level fragrance released refresh car organic highly efficient air freshener environmentally conscious consumer looking discreet air freshener option look refresh car cans cherry captures essence fresh picked cherries candy like allure immediately emanates vehicle cherry irresistible aromatic fragrance force noticed enjoys ride vehicle, refresh scented gel oz car home office air freshener cherry wal mart"
296,0.0,0,beauty hair care conditioner conditioner,fudge professional,dry conditioner,https://i5.walmartimages.com/asr/e405589f-9808-47f1-99e2-fc0379e26956_1.bd57a506cf41d02c3bb104f79015804c.jpeg | https://i5.walmartimages.com/asr/dd584587-6add-433b-9ff5-42839e041254_1.0ffb51b776ae8e51747c76ed9963ade1.jpeg,nourishes moisturizes dry brittle hair leaves hair soft supple shiny new aroma organic bergamot lavender ginger lily instantly improves dry hair 63 percent features buriti oil help hydrate conditioner,"beauty hair care conditioner conditioner, fudge professional, dry conditioner, nourishes moisturizes dry brittle hair leaves hair soft supple shiny new aroma organic bergamot lavender ginger lily instantly improves dry hair 63 percent features buriti oil help hydrate conditioner, dry conditioner wal mart"
297,0.0,0,beauty hair care hair styling products hair pomade,dax,dax pomade lanolin 14 oz pack 2,https://i5.walmartimages.com/asr/8b99baeb-f674-44db-bba6-54ef60c2d88b_1.83711fa3e71cf41a126fb63cf4ae033c.jpeg,free shipping pack 2 pack 2 upc 077315003019 quality hair care products active ingredients petrolatum lanolin olive oil castor oil coconut oil mineral oil yellow 11 green 6 stearic acid parfum uses recommended hair breaks ends excessive dryness,"beauty hair care hair styling products hair pomade, dax, dax pomade lanolin 14 oz pack 2, free shipping pack 2 pack 2 upc 077315003019 quality hair care products active ingredients petrolatum lanolin olive oil castor oil coconut oil mineral oil yellow 11 green 6 stearic acid parfum uses recommended hair breaks ends excessive dryness, dax pomade lanolin 14 oz pack 2 wal mart"
298,0.0,0,beauty skin care facial cleansers exfoliators facial scrub,queen helene,queen helene natural facial scrub pomegranate raspberry 6 oz pack 4,https://i5.walmartimages.com/asr/4922b7ed-df97-43f4-8b46-2f483551d7cc_1.2ef28fc0e80e260f63441c01cc95e8fd.jpeg,pack 4 pack 4 upc 079896223077 queen helene natural facial scrub pomegranate raspberry gently buffs away dull dead skin cells revealing fresher smoother skin instantly skin types paraben free delicately fragrant scrub combines raspberry seeds natural exfoliants ease away lifeless surface cells impurities dull skin pomegranate oil adds antioxidant protection skin aging effects water aqua juglans regia walnut shell powder stearic acid stearyl alcohol glyceryl stearate kaolin sodium lauryl sulfate rubus idaeus raspberry seed punica granatum pomegranate fruit extract dimethicone cocamidopropyl betaine triethanolamine sorbitol carbomer phenoxyethanol potassium sorbate sodium benzoate fragrance red 33 ci 17200,"beauty skin care facial cleansers exfoliators facial scrub, queen helene, queen helene natural facial scrub pomegranate raspberry 6 oz pack 4, pack 4 pack 4 upc 079896223077 queen helene natural facial scrub pomegranate raspberry gently buffs away dull dead skin cells revealing fresher smoother skin instantly skin types paraben free delicately fragrant scrub combines raspberry seeds natural exfoliants ease away lifeless surface cells impurities dull skin pomegranate oil adds antioxidant protection skin aging effects water aqua juglans regia walnut shell powder stearic acid stearyl alcohol glyceryl stearate kaolin sodium lauryl sulfate rubus idaeus raspberry seed punica granatum pomegranate fruit extract dimethicone cocamidopropyl betaine triethanolamine sorbitol carbomer phenoxyethanol potassium sorbate sodium benzoate fragrance red 33 ci 17200, queen helene natural facial scrub pomegranate raspberry 6 oz pack 4 wal mart"
299,4.4,11188,beauty nail care nail polish nail polish,sally hansen,sally hansen miracle gel nail color polish adrenaline crush oz,https://i5.walmartimages.com/asr/d48030e5-0cac-42ae-b803-98b706771a2b_1.11345dd65e5a51638250564cd25f9f22.jpeg | https://i5.walmartimages.com/asr/126bf3fe-2235-4199-9ad5-dbb4020a3a03_1.d4b8bd50d37dda95801f02bfe154bf7d.jpeg | https://i5.walmartimages.com/asr/e1e41329-eb87-410b-8706-3254f770bb08_1.63facb4ec3761cd9940538cfd4e88638.jpeg | https://i5.walmartimages.com/asr/645fc638-b942-4e0a-9aac-62c3337381ec_2.fd1368462b23f80ae0d3a773b576ebd6.jpeg | https://i5.walmartimages.com/asr/e87f92f2-8d8e-42ce-a199-dbd651ec66e4_1.cfde1f877796ae0ef5d8c2840c128e4a.jpeg,achieve professional looking results comfort home sally hansen miracle gel high quality ingredients provide long lasting coverage s chip resistant long lasting nail gel easy apply requires uv lamp dry perfectly simply use included applicator brush apply strokes clean dry nails sally hansen miracle gel comes wide range colors match wardrobe mood available convenient fl oz bottle life proof polish ultimate chip resistant nail polish miracle gel original uv light home gel polish salon gel results provides longer lasting manicure 1 selling gel polish 1 nail color nielsen latest 52 weeks w e super high gloss shiny finish net weight fl oz,"beauty nail care nail polish nail polish, sally hansen, sally hansen miracle gel nail color polish adrenaline crush oz, achieve professional looking results comfort home sally hansen miracle gel high quality ingredients provide long lasting coverage s chip resistant long lasting nail gel easy apply requires uv lamp dry perfectly simply use included applicator brush apply strokes clean dry nails sally hansen miracle gel comes wide range colors match wardrobe mood available convenient fl oz bottle life proof polish ultimate chip resistant nail polish miracle gel original uv light home gel polish salon gel results provides longer lasting manicure 1 selling gel polish 1 nail color nielsen latest 52 weeks w e super high gloss shiny finish net weight fl oz, sally hansen miracle gel nail color polish adrenaline crush oz wal mart"
300,0.0,0,household essentials air fresheners spray air fresheners fabric spray fabric spray,zep,zep air fabric odor eliminator 32 ounce zuair32 case 4,https://i5.walmartimages.com/asr/abb2173a-6843-4a39-995c-8d0e6e91d3fd_1.215d895e73c342a7519de5a60d66d160.jpeg | https://i5.walmartimages.com/asr/e66445e4-38fe-47ef-aa21-c8488851e09e_1.cb3b6b78b7655c1f7bbdb8eed7f7c9f0.jpeg | https://i5.walmartimages.com/asr/40b1a465-cb7a-4993-9e47-9eb433909967_1.b547af4f773fdd5b5e502d9d0f8f381d.jpeg | https://i5.walmartimages.com/asr/42abcbe3-c519-4161-8ce9-375f3d2675a8_1.c71a14a5aae3bacd0da179de632982d3.jpeg | https://i5.walmartimages.com/asr/853f806c-d62e-49e6-aab2-b29e65da3593_1.825106f76ebc077e844f9afd02d8b85f.jpeg | https://i5.walmartimages.com/asr/241d960e-e7ee-47b9-a784-6cd57114a06e_1.93982c3e579d8a1e7b73fe38e5d0ad89.jpeg | https://i5.walmartimages.com/asr/8f9710f7-aae5-43c0-9829-b181af18b741_1.df40f792053f76cf22fe73985bbc2528.jpeg | https://i5.walmartimages.com/asr/626d41e7-1f6e-4d17-bbd3-f842f9c9083e_1.31e09e54b02731c8a7d29ca0cca7ec50.jpeg | https://i5.walmartimages.com/asr/760d6974-2f28-4d11-a8bd-edd7e822b1ec_1.5b80f6070629d143bb34e233954523f0.jpeg,discover zeps level clean pro expect pro grade results zep helps deliver thought possible kind results worth sharing s zep trusted professionals 80 years clean right time nt settle expected clean try zep uncover level clean zep delivers solutions cleaning needs air care absorbents adhesives sealants purpose cleaners automotive automotive maintenance carpet care cleaning tools degreasers disinfectants glass cleaners hand cleaners hard floors outdoor cleaners pest control plumbing septic care restroom specialty cleaners specialized professional grade formula neutralizes tough odor contact long lasting fragrance use carpets upholstery clothing bedding rugs simply spray air eliminate tough odors use leather suede silk spray pets animals,"household essentials air fresheners spray air fresheners fabric spray fabric spray, zep, zep air fabric odor eliminator 32 ounce zuair32 case 4, discover zeps level clean pro expect pro grade results zep helps deliver thought possible kind results worth sharing s zep trusted professionals 80 years clean right time nt settle expected clean try zep uncover level clean zep delivers solutions cleaning needs air care absorbents adhesives sealants purpose cleaners automotive automotive maintenance carpet care cleaning tools degreasers disinfectants glass cleaners hand cleaners hard floors outdoor cleaners pest control plumbing septic care restroom specialty cleaners specialized professional grade formula neutralizes tough odor contact long lasting fragrance use carpets upholstery clothing bedding rugs simply spray air eliminate tough odors use leather suede silk spray pets animals, zep air fabric odor eliminator 32 ounce zuair32 case 4 wal mart"
301,0.0,0,beauty skin care facial cleansers aveeno facial cleansers,aveeno,johnson johnson aveeno active naturals cream cleanser 5 oz,https://i5.walmartimages.com/asr/31052a14-7928-48ee-8ab9-40d1ac8b8309_1.67dc5a5151bca27db0686400594675be.jpeg | https://i5.walmartimages.com/asr/af70a5ff-6af6-48a9-8272-3350c0cd0517_1.35548d2f999b234cc1ec34c303d13e4e.jpeg | https://i5.walmartimages.com/asr/b4d2827e-aca4-478c-b866-df770a936d97_1.de12c7e9841dab7baa0f21b599eb3145.jpeg | https://i5.walmartimages.com/asr/90a74b56-cb51-43e7-a3d8-f60a2742c6ef_1.c0ccff34281acef1d7cf188059dd6077.jpeg | https://i5.walmartimages.com/asr/17c380cc-a666-41ff-94ab-671054a1a7ed_1.43e16b11b3a6602494d0a9a9566c1f2d.jpeg | https://i5.walmartimages.com/asr/9459ed0f-4b82-46c4-aaac-ee0a1767f27d_1.5a6d35ca2e5c285998c1b015c2ec3364.jpeg | https://i5.walmartimages.com/asr/264b331e-4ac1-4047-95ab-a47ef7cd3316_1.5c4686dd713aa7a56b5cea9c1b66ea44.jpeg | https://i5.walmartimages.com/asr/486a14ae-b087-4390-8b28-b4f52cc75614_1.49365d37c1c1644b7fa536672730789e.jpeg | https://i5.walmartimages.com/asr/b3b57c80-0af8-45c5-952f-dc4ccd0572ef_1.fef71085ba791d4b429fa5f995279d9e.jpeg,cream cleanser moisturizing ultra calming 5 oz 141 g gently cleanses moisturizing dry sensitive skin fragrance free naturally calming feverfew soap free fragrance free noncomedogenic hypoallergenic gentle soap free creamy cleanser enriched skin moisturizers dry sensitive skin lifts away dirt oil extract feverfew natural ingredient related chamomile known soothing properties sensitive skin look feel healthy best discover aveeno active naturals simply active naturals ingredients derived nature uniquely formulated reveal skins natural health beauty essential active naturals skin calming feverfew dermatologist recommended 60 years canada wet face gently massage product face 20 30 seconds avoiding eye area rinse pat dry best results use conjunction moisturizer external use 5 oz 141 g skillman nj 08558 9418 866 4aveeno cci 2009aveeno ultra calming moisturizing cream cleanser gentle calming moisturizing aveeno cream cleanser contains extract calming feverfew fragrance free soap free suitable use sensitive skin,"beauty skin care facial cleansers aveeno facial cleansers, aveeno, johnson johnson aveeno active naturals cream cleanser 5 oz, cream cleanser moisturizing ultra calming 5 oz 141 g gently cleanses moisturizing dry sensitive skin fragrance free naturally calming feverfew soap free fragrance free noncomedogenic hypoallergenic gentle soap free creamy cleanser enriched skin moisturizers dry sensitive skin lifts away dirt oil extract feverfew natural ingredient related chamomile known soothing properties sensitive skin look feel healthy best discover aveeno active naturals simply active naturals ingredients derived nature uniquely formulated reveal skins natural health beauty essential active naturals skin calming feverfew dermatologist recommended 60 years canada wet face gently massage product face 20 30 seconds avoiding eye area rinse pat dry best results use conjunction moisturizer external use 5 oz 141 g skillman nj 08558 9418 866 4aveeno cci 2009aveeno ultra calming moisturizing cream cleanser gentle calming moisturizing aveeno cream cleanser contains extract calming feverfew fragrance free soap free suitable use sensitive skin, johnson johnson aveeno active naturals cream cleanser 5 oz wal mart"
302,0.0,0,personal care sun care sunscreen,alba botanica,alba botanica clear spray water resistant maximum sunscreen spray spf 70 6 oz,https://i5.walmartimages.com/asr/49e64d81-3cb9-4ee4-aeac-942a4b2d323a.3c7704634745ed20699475e38cde832c.jpeg | https://i5.walmartimages.com/asr/d3838ab3-41fe-47fb-b0d3-cacb0e3a77ed.da90b6b1b5efca6950b518b366792b68.jpeg | https://i5.walmartimages.com/asr/62fb67f2-0801-4bee-a899-0a504a885372.6c143f6ea1932be41cfe174d7798ab97.jpeg,protect skin harmful uva uvb rays alba botanica fragrance free maximum clear spray spf 70 sunscreen lightweight air powered mist botanical ingredients coconut avocado oils provide maximum protection heavy greasy feeling sunscreen recommended skin cancer foundation water resistant 80 minutes reef friendly formula 100 vegetarian ingredients contain oxybenzone octinoxate synthetic fragrances gluten biodegradable tested animals includes 6 oz bottle alba botanica fragrance free maximum clear spray spf 70 sunscreen alba botanica product family constantly evolves alongside health beauty ingredient knowledge trends dedicated making high quality 100 vegetarian products overflow botanical ingredients beautiful s motto motivates body loving products nourish skin hair course botanica sunscrn mix clr spry spf70 1 6 oz,"personal care sun care sunscreen, alba botanica, alba botanica clear spray water resistant maximum sunscreen spray spf 70 6 oz, protect skin harmful uva uvb rays alba botanica fragrance free maximum clear spray spf 70 sunscreen lightweight air powered mist botanical ingredients coconut avocado oils provide maximum protection heavy greasy feeling sunscreen recommended skin cancer foundation water resistant 80 minutes reef friendly formula 100 vegetarian ingredients contain oxybenzone octinoxate synthetic fragrances gluten biodegradable tested animals includes 6 oz bottle alba botanica fragrance free maximum clear spray spf 70 sunscreen alba botanica product family constantly evolves alongside health beauty ingredient knowledge trends dedicated making high quality 100 vegetarian products overflow botanical ingredients beautiful s motto motivates body loving products nourish skin hair course botanica sunscrn mix clr spry spf70 1 6 oz, alba botanica clear spray water resistant maximum sunscreen spray spf 70 6 oz wal mart"
303,1.68,644,beauty makeup face makeup foundation maybelline foundation deep shades,maybelline,maybelline dream velvet soft matte hydrating foundation classic coconut 1 fl oz,https://i5.walmartimages.com/asr/68928a9f-b23c-4cd7-8e80-77d10e8b6ae7_1.e2bef482a19650657305c7eabdeee09a.jpeg | https://i5.walmartimages.com/asr/b618ec76-8533-4eca-ac3f-ff7d024a8b2e_1.32bc215803361f378eca8fcf49c7388d.jpeg,gel foundation hydrates skin 12 hours delivers soft matte finish velvet smooth perfection drying roughness ideal normal combination skin soft matte hydrating foundation unique gel foundation formula provides medium coverage gel whipped foundation infused water apply maybelline dream velvet foundation maybelline dream blender ultimate finish soft matte hydrating foundation unique gel foundation formula provides medium coverage gel whipped foundation infused water,"beauty makeup face makeup foundation maybelline foundation deep shades, maybelline, maybelline dream velvet soft matte hydrating foundation classic coconut 1 fl oz, gel foundation hydrates skin 12 hours delivers soft matte finish velvet smooth perfection drying roughness ideal normal combination skin soft matte hydrating foundation unique gel foundation formula provides medium coverage gel whipped foundation infused water apply maybelline dream velvet foundation maybelline dream blender ultimate finish soft matte hydrating foundation unique gel foundation formula provides medium coverage gel whipped foundation infused water, maybelline dream velvet soft matte hydrating foundation classic coconut 1 fl oz wal mart"
304,0.0,2,personal care feminine care feminine hygiene,selling items,amberen multi symptom menopause relief capsules 60 ea,https://i5.walmartimages.com/asr/b262a75b-b523-422e-b446-b1071db6031b_1.7d57ebf9adc44d05144c2d074d029622.jpeg,amberen multi symptom menopause relief capsules 60 ea upc 899234001088amberen multi symptom menopause relief capsules 60 ea,"personal care feminine care feminine hygiene, selling items, amberen multi symptom menopause relief capsules 60 ea, amberen multi symptom menopause relief capsules 60 ea upc 899234001088amberen multi symptom menopause relief capsules 60 ea, amberen multi symptom menopause relief capsules 60 ea wal mart"
305,5.0,4,home bedding basic bedding pillow cases,unique bargains,unique bargains 2pcs egyptian cotton pillow cover cases coffee color standard,https://i5.walmartimages.com/asr/0276c1a8-d8d9-4be6-9b01-baf61b18869d.8eaccf83170d218faaa47dd67f67f8f3.jpeg | https://i5.walmartimages.com/asr/10a8aa2d-c6c9-4651-ab62-315d168b9f39.136ecf186174b601c57d8726bf014f07.jpeg | https://i5.walmartimages.com/asr/f00622fb-c9ae-4e90-bf22-c6d8d28b5ddc.9ec2dac865905647b91048becc7ff679.jpeg | https://i5.walmartimages.com/asr/415b8684-1033-406f-a7ce-62982df54d68.9489fdd1601a854026e884e8b028b12c.jpeg | https://i5.walmartimages.com/asr/42bf50d2-a606-4794-b401-23346ea30b94.4637dfe8289470ccc113758c6799478d.jpeg | https://i5.walmartimages.com/asr/b26ddeec-af77-488a-8272-1d5c9ca6a679.55a5d0f9cfa79f6172fa3b93b33ad538.jpeg | https://i5.walmartimages.com/asr/eb2ae144-b23c-4f97-9536-5a13b7015fe8.4b5501f86566963ee2b2b5a04b19c56c.jpeg | https://i5.walmartimages.com/asr/a32b1380-27ce-459d-a379-9f6a0db13cc3.0e8902bef40fd7f7b9fc8edc4c1fc5a7.jpeg,,"home bedding basic bedding pillow cases, unique bargains, unique bargains 2pcs egyptian cotton pillow cover cases coffee color standard, , unique bargains 2pcs egyptian cotton pillow cover cases coffee color standard wal mart"
306,0.0,0,beauty skin care face masks face masks,zion health,zion health inc mud mask 4 oz,https://i5.walmartimages.com/asr/16ff4ee2-14fa-40e7-8244-3b02698c09b4_1.1bef06eeba23e4b7339bb64d9bd384c1.jpeg | https://i5.walmartimages.com/asr/4ba1cbdf-d1e8-4457-ad7c-f76abf4ccf7b_1.3143c7449309c035338dab5330e87a23.jpeg,glacial marine clay packed micro nutrients neutral ph balance ideal improving skin quality enhancing skin marine clay naturally derived erosion caused movement melting glaciers eroded minerals contain fine particles consisting large amounts nutrient rich trace minerals rare clay sustainably harvested allow natural replenishment respectful environment surrounding wildlife adama glacial mudmask zion health 4 fl oz cream purify energize renew deep pore cleanser skin types 100 vegan paraben free sulfates gluten free usa,"beauty skin care face masks face masks, zion health, zion health inc mud mask 4 oz, glacial marine clay packed micro nutrients neutral ph balance ideal improving skin quality enhancing skin marine clay naturally derived erosion caused movement melting glaciers eroded minerals contain fine particles consisting large amounts nutrient rich trace minerals rare clay sustainably harvested allow natural replenishment respectful environment surrounding wildlife adama glacial mudmask zion health 4 fl oz cream purify energize renew deep pore cleanser skin types 100 vegan paraben free sulfates gluten free usa, zion health inc mud mask 4 oz wal mart"
307,4.4,935,beauty skin care lip balms conditioners tinted lip balm,maybelline,maybelline baby lips moisturizing lip balm quenched oz,https://i5.walmartimages.com/asr/07c1ae32-a9ee-4bc2-a35c-554a6ceface5.f0d9412d25e593d8522767f885e48c77.jpeg | https://i5.walmartimages.com/asr/4653dc2d-d240-4064-ae94-4a189c38cff8.9b3781f5626d35c5478fc27722f7b5a8.jpeg | https://i5.walmartimages.com/asr/0753560d-7287-41f9-97e5-4a225911fea1.befe4fb1297cdbe451165e73c71c0c5c.jpeg | https://i5.walmartimages.com/asr/29ec7f51-05a6-4fec-9f40-0830a1ab4003.4b56183625d90559bf4c94d5d9a678f8.jpeg | https://i5.walmartimages.com/asr/4f2f346b-95db-4b62-86b7-6b1bee3c9819.5f494f880848525c775b8867e886af1c.jpeg,clinical care baby soft lips exclusive lip renew formula moisturizes protects lips hours week lips visibly renewed 88 experienced smooth lips 83 experienced better looking lips 82 experienced dry lips moisturizing lip care baby soft lips lip balm provides hour hydration lips visibly renewed week clinically tested lip care formula surges moisture,"beauty skin care lip balms conditioners tinted lip balm, maybelline, maybelline baby lips moisturizing lip balm quenched oz, clinical care baby soft lips exclusive lip renew formula moisturizes protects lips hours week lips visibly renewed 88 experienced smooth lips 83 experienced better looking lips 82 experienced dry lips moisturizing lip care baby soft lips lip balm provides hour hydration lips visibly renewed week clinically tested lip care formula surges moisture, maybelline baby lips moisturizing lip balm quenched oz wal mart"
308,4.7,131,personal care oral care denture adhesive,efferdent,efferdent original anti bacterial denture cleanser tablets 126 count,https://i5.walmartimages.com/asr/548b60c7-8817-44ab-8984-7183dc368ba9_1.e4fd6bea3b62332b41465f87143289da.jpeg | https://i5.walmartimages.com/asr/208c9b92-a530-42ec-ad9f-01de9e66bb5c_1.42a9901730a18bfa3204cfd68d80e86f.jpeg | https://i5.walmartimages.com/asr/efb7ab7a-92cd-41e6-b5e3-f7b7af369583_1.8e8f989283892cb762250f669cf10e5f.jpeg | https://i5.walmartimages.com/asr/6aa739b8-57c4-419e-b22a-14956c0f94b4_1.f78a498dd44b83b95ed946f6d38bb31f.jpeg,clean anti bacterial denture cleanser day kill germs cause denture odor dissolve tough stains hard reach places teeth reduce plaque buildup remove food particles cause gum irritation dentures extra fresh 1 drop tablet warm water cover denture 2 place denture effervescing solution change color cleans 3 5 minutes remove rinse denture thoroughly denture clean odor free 4 best results brush denture anti bacterial denture cleanser solution rinse denture immediately throw away solution gargle rinse mouth solution denture bath dentures soaked safely antibacterial denture cleanser overnight recommended use partial denture cleanser cleans plate dentures partials retainers dental appliances powerful effervescent cleaning action strong care toughest stains forces way hard reach places dentures efferdent denture cleanser fights plaque build kills odor causing bacteria surprise denture wearers feel confident use efferdent denture cleanser denture cleanser tablet accepted american dental association,"personal care oral care denture adhesive, efferdent, efferdent original anti bacterial denture cleanser tablets 126 count, clean anti bacterial denture cleanser day kill germs cause denture odor dissolve tough stains hard reach places teeth reduce plaque buildup remove food particles cause gum irritation dentures extra fresh 1 drop tablet warm water cover denture 2 place denture effervescing solution change color cleans 3 5 minutes remove rinse denture thoroughly denture clean odor free 4 best results brush denture anti bacterial denture cleanser solution rinse denture immediately throw away solution gargle rinse mouth solution denture bath dentures soaked safely antibacterial denture cleanser overnight recommended use partial denture cleanser cleans plate dentures partials retainers dental appliances powerful effervescent cleaning action strong care toughest stains forces way hard reach places dentures efferdent denture cleanser fights plaque build kills odor causing bacteria surprise denture wearers feel confident use efferdent denture cleanser denture cleanser tablet accepted american dental association, efferdent original anti bacterial denture cleanser tablets 126 count wal mart"
309,4.3,677,personal care deodorants antiperspirants,old spice,old spice antiperspirant deodorant men extra fresh sweat defense oz,https://i5.walmartimages.com/asr/85a0b85f-8ede-4935-87ff-54cb564dac26.f9d28e9d60265230c76168b4637becfa.jpeg | https://i5.walmartimages.com/asr/abc745e4-70a0-4337-9efe-51d080ba10cd.e71c27cb6a00eefb81b8080c0da7888a.jpeg | https://i5.walmartimages.com/asr/f36d3cfb-cd9e-4295-834f-9fe0206e9559.8baab38e480ec74926cbae884075a3d4.jpeg | https://i5.walmartimages.com/asr/ae250ce7-0d69-48ce-8ba4-d86c497e4dce.7865676697d8bb0dc292c9fac0db1c6a.jpeg | https://i5.walmartimages.com/asr/edd0291e-be46-4ae4-9c6b-c8849c6c7f3d.0b11964df195b36b726e921efae28c75.jpeg | https://i5.walmartimages.com/asr/0bd1c474-e682-4dfa-a41b-94a874135daa.f5ac377ef4b9af702f5e660a6dac5656.jpeg | https://i5.walmartimages.com/asr/d8792e63-ec75-4e47-9ffa-dccdbdb4b019.14d39eb730fb750a7ea8fe311bcb2adc.jpeg | https://i5.walmartimages.com/asr/4cb130d7-a6b3-44d4-a963-90513bac65f1.48ab1e3d03f1546a2e6392d314dfc9a1.jpeg,ll hard tell hard working hardest working collection matter hard working hardest working working harder reduce sweat stink hardly hard working extra fresh keeps cool funky fresh clean citrus scent old spice mens invisible solid sweat defense antiperspirant deodorant stronger longer lasting sweat protection use turn base raise anti perspirant wipe armpits lasting dryness smell like smelling good job good job old spice hardest working extra fresh sweat defense invisible solid antiperspirant deodorant men oz extra fresh fresher 80s rap cleaning supplies smells like citrus sweat defense extra strong anti perspirant deodorant makes smell like extra strong man extra strong arms tattoos arms extra strong old spice sweat defense mens anti perspirant makes pits stay dry longer thought hardest working collection brings odor blocking sweat defending dirt destroying power legendary protection legendary men,"personal care deodorants antiperspirants, old spice, old spice antiperspirant deodorant men extra fresh sweat defense oz, ll hard tell hard working hardest working collection matter hard working hardest working working harder reduce sweat stink hardly hard working extra fresh keeps cool funky fresh clean citrus scent old spice mens invisible solid sweat defense antiperspirant deodorant stronger longer lasting sweat protection use turn base raise anti perspirant wipe armpits lasting dryness smell like smelling good job good job old spice hardest working extra fresh sweat defense invisible solid antiperspirant deodorant men oz extra fresh fresher 80s rap cleaning supplies smells like citrus sweat defense extra strong anti perspirant deodorant makes smell like extra strong man extra strong arms tattoos arms extra strong old spice sweat defense mens anti perspirant makes pits stay dry longer thought hardest working collection brings odor blocking sweat defending dirt destroying power legendary protection legendary men, old spice antiperspirant deodorant men extra fresh sweat defense oz wal mart"
310,0.0,0,premium beauty premium hair care premium hair scalp treatments,kerastase,kerastase discipline maskeratine 500ml,https://i5.walmartimages.com/asr/0e200420-2b90-433b-9b62-9e1e13d48e9c.ec24c4dce26a52e35547facf94d83ab0.jpeg,,"premium beauty premium hair care premium hair scalp treatments, kerastase, kerastase discipline maskeratine 500ml, , kerastase discipline maskeratine 500ml wal mart"
311,0.0,0,personal care personal care brand wahl wahl,wahl,wahl mustache beard trimmer long lasting metal blades powerful motor 4 attachment combs included,https://i5.walmartimages.com/asr/d62e1b53-d231-465c-bfb1-b6ab1db98e45.b175a88f38cbda07079fd6ada8e76736.jpeg | https://i5.walmartimages.com/asr/5aba5fd3-1215-4dbf-acc8-1c37270bf190.a024ce48d5b81c4e9272715ce5387ad4.jpeg | https://i5.walmartimages.com/asr/7ab7241b-d590-486e-ad51-e9a6fbaaf23f.afc3f78e2286651bba8cf8a81684c37e.jpeg | https://i5.walmartimages.com/asr/de8038d4-1b58-42ad-90e1-1534a2bf348c.98ccb91f109acbf75c495cd1c121d711.jpeg | https://i5.walmartimages.com/asr/0b9fcc07-e566-402c-b5b8-66589db06016.215056e11a8943ac66daa461d71d4072.jpeg | https://i5.walmartimages.com/asr/eaeda4d9-e0e8-478e-9057-6723438532b1.1a8fdeb271cda15e95a93567d56d69a7.jpeg,wahl mustache beard trimmer long lasting metal blades powerful motor 4 attachment combs included wahl hair clippers haircutting touch ups beard trimming necklines trimming ears self sharpening long lasting blades mens compact hair clipper features high carbon steel blades precision ground stay sharp longer ergonomic design grip makes haircut machine easy handle angle body guide combs achieve variety beard lengths 3 individual guides stubble medium 5 position adjustable guide beard mustache hair trimmer compact size hair trimmer great companion size clippers ideal cleaning beard mustache goatee neckline sideburns english spanish instructions quickly learn use complete haircut kit potential personal use kids favorite buzz features perfect haircutting kit entire family 4 guide combs 5 position guide mustache comb blade oil cleaning brush storage pouch ideal trimming ears necklines sideburns self sharpening high carbon steel blades ideal head total body groomingperfect mini hair trimmer multiple attachment guide combs included,"personal care personal care brand wahl wahl, wahl, wahl mustache beard trimmer long lasting metal blades powerful motor 4 attachment combs included, wahl mustache beard trimmer long lasting metal blades powerful motor 4 attachment combs included wahl hair clippers haircutting touch ups beard trimming necklines trimming ears self sharpening long lasting blades mens compact hair clipper features high carbon steel blades precision ground stay sharp longer ergonomic design grip makes haircut machine easy handle angle body guide combs achieve variety beard lengths 3 individual guides stubble medium 5 position adjustable guide beard mustache hair trimmer compact size hair trimmer great companion size clippers ideal cleaning beard mustache goatee neckline sideburns english spanish instructions quickly learn use complete haircut kit potential personal use kids favorite buzz features perfect haircutting kit entire family 4 guide combs 5 position guide mustache comb blade oil cleaning brush storage pouch ideal trimming ears necklines sideburns self sharpening high carbon steel blades ideal head total body groomingperfect mini hair trimmer multiple attachment guide combs included, wahl mustache beard trimmer long lasting metal blades powerful motor 4 attachment combs included wal mart"
